0.71,0.41,0.96,94.05,0.18,68.97,0.22,0.62,0.38,1.63,-1.31,-1.21,0,20
0.6,0.33,1.19,118.23,0.24,62.07,0.25,0.8,0.2,3.95,0.63,2.76,0,22
0.76,0.5,0.94,72.82,0.14,31.03,0.16,0.66,0.34,1.96,0.17,0.49,0,-4
0.66,0.42,0.98,107.14,0.19,86.21,0.27,0.54,0.46,1.19,-1.01,0.02,0,18
0.64,0.38,1.08,106.76,0.21,65.52,0.19,0.51,0.49,1.03,-0.98,-0.11,0,20
0.72,0.31,1.2,96.78,0.21,82.76,0.34,0.27,0.73,0.37,-1.79,-1.67,0,23
0.69,0.36,1.22,99.92,0.22,82.76,0.3,0.35,0.65,0.53,-1.21,-0.05,0,23
0.62,-0,1.18,107.96,0.25,72.41,0.4,0.33,0.67,0.5,0.32,2.65,0,23
0.61,0,1.21,109.96,0.28,89.66,0.45,0.52,0.48,1.08,0,2.28,0,23
0.44,0.32,0.53,132.22,0.06,31.03,0.06,0.45,0.55,0.81,-1.02,-0.85,0,8
0.82,0.59,0.99,73.89,0.05,6.9,0.08,0.3,0.7,0.42,-1.63,-3.77,0,-24
0.59,0.33,0.92,112.36,0.18,55.17,0.16,0.61,0.39,1.57,-0.77,0.06,0,19
0.59,0.32,1.1,116.73,0.23,75.86,0.27,0.31,0.69,0.45,-0.87,0.36,0,28
0.65,0.34,1.37,104.58,0.24,82.76,0.31,0.39,0.61,0.65,-1.59,-1.91,0,18
0.8,0.39,1.97,89.29,0.36,100,0.51,0.44,0.56,0.79,0.8,3.82,0,26
0.81,-0,1.95,66.8,0.49,96.55,0.77,0.39,0.61,0.64,0.8,3.97,0.03,17
0.72,-0,1.91,76.74,0.38,68.97,0.69,0.51,0.49,1.02,-0.4,0.85,0,8
0.74,0.11,1.88,75.95,0.29,55.17,0.49,0.31,0.69,0.44,-1.73,-2.27,0,6
0.69,0.32,0.85,76.92,0.14,62.07,0.18,0.37,0.63,0.58,-0.64,0.39,0,9
0.45,0.3,0.97,141.52,0.14,65.52,0.19,0.55,0.45,1.2,-0.56,0.64,0,27
0.47,0.28,0.66,128.21,0.08,79.31,0.11,0.47,0.53,0.9,-1.04,0.04,0,26
0.44,0.29,0.78,141.52,0.11,62.07,0.13,0.25,0.75,0.34,-0.52,0.91,0,23
0.46,0.27,0.9,138.9,0.14,79.31,0.15,0.62,0.38,1.65,-0.65,0.4,0,27
0.63,0.46,0.94,99.02,0.16,100,0.28,0.52,0.48,1.07,-1.4,-0.76,0,21
0.62,0.47,0.88,97.47,0.14,96.55,0.23,0.2,0.8,0.24,-1.73,-1.6,0,7
0.49,0.31,0.92,125.54,0.14,75.86,0.18,0.53,0.47,1.14,-0.58,0.96,0,24
0.43,0.28,0.65,137.72,0.08,55.17,0.12,0.39,0.61,0.63,-1.15,-0.55,0,26
0.51,0.3,1,129.32,0.18,82.76,0.2,0.49,0.51,0.95,0.97,3.49,0,24
0.46,0.28,0.96,146.34,0.14,68.97,0.14,0.7,0.3,2.39,-0.08,1.81,0,26
0.5,0.32,0.93,129.31,0.16,72.41,0.21,0.5,0.5,0.99,-0.33,1.45,0,27
0.44,0.28,0.78,143.54,0.12,82.76,0.17,0.51,0.49,1.03,-0.67,0.52,0,27
